X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.0160007,0.42776,,0.0160007,-0.0281289
0.0160013,0.741103,,0.0160013,-0.0450164
0.016002,0.94162,,0.016002,-0.0549
0.0160026,0.998784,,0.0160026,-0.0562728
0.0160032,0.903892,,0.0160032,-0.0489286
0.0160038,0.671391,,0.0160038,-0.0339894
0.0160045,0.336677,,0.0160045,-0.0137299
0.0160051,-0.0492939,,0.0160051,0.00876798
0.0160057,-0.42776,,0.0160057,0.0300806
0.0160063,-0.741103,,0.0160063,0.046961
0.016007,-0.94162,,0.016007,0.0568365
0.0160076,-0.998784,,0.0160076,0.058205
0.0160082,-0.903892,,0.0160082,0.0508626
0.0160088,-0.671391,,0.0160088,0.0359305
0.0160095,-0.336677,,0.0160095,0.0156792
0.0160101,0.0492939,,0.0160101,-0.00681434
0.0160107,0.42776,,0.0160107,-0.0281289
0.0160113,0.741103,,0.0160113,-0.0450164
0.016012,0.94162,,0.016012,-0.0549
0.0160126,0.998784,,0.0160126,-0.0562728
0.0160132,0.903892,,0.0160132,-0.0489286
0.0160138,0.671391,,0.0160138,-0.0339894
0.0160145,0.336677,,0.0160145,-0.0137299
0.0160151,-0.0492939,,0.0160151,0.00876798
0.0160157,-0.42776,,0.0160157,0.0300806
0.0160163,-0.741103,,0.0160163,0.046961
0.016017,-0.94162,,0.016017,0.0568365
0.0160176,-0.998784,,0.0160176,0.058205
0.0160182,-0.903892,,0.0160182,0.0508626
0.0160188,-0.671391,,0.0160188,0.0359305
0.0160195,-0.336677,,0.0160195,0.0156792
0.0160201,0.0492939,,0.0160201,-0.00681434
0.0160207,0.42776,,0.0160207,-0.0281289
0.0160213,0.741103,,0.0160213,-0.0450164
0.016022,0.94162,,0.016022,-0.0549
0.0160226,0.998784,,0.0160226,-0.0562728
0.0160232,0.903892,,0.0160232,-0.0489286
0.0160238,0.671391,,0.0160238,-0.0339894
0.0160245,0.336677,,0.0160245,-0.0137299
0.0160251,-0.0492939,,0.0160251,0.00876798
0.0160257,-0.42776,,0.0160257,0.0300806
0.0160263,-0.741103,,0.0160263,0.046961
0.016027,-0.94162,,0.016027,0.0568365
0.0160276,-0.998784,,0.0160276,0.058205
0.0160282,-0.903892,,0.0160282,0.0508626
0.0160288,-0.671391,,0.0160288,0.0359305
0.0160295,-0.336677,,0.0160295,0.0156792
0.0160301,0.0492939,,0.0160301,-0.00681434
0.0160307,0.42776,,0.0160307,-0.0281289
0.0160313,0.741103,,0.0160313,-0.0450164
0.016032,0.94162,,0.016032,-0.0549
0.0160326,0.998784,,0.0160326,-0.0562728
0.0160332,0.903892,,0.0160332,-0.0489286
0.0160338,0.671391,,0.0160338,-0.0339894
0.0160345,0.336677,,0.0160345,-0.0137299
0.0160351,-0.0492939,,0.0160351,0.00876798
0.0160357,-0.42776,,0.0160357,0.0300806
0.0160363,-0.741103,,0.0160363,0.046961
0.016037,-0.94162,,0.016037,0.0568365
0.0160376,-0.998784,,0.0160376,0.058205
0.0160382,-0.903892,,0.0160382,0.0508626
